Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,sin_day,cos_day,sin_month,cos_month,reindexed_id
15-09-2000,1443.25,1451.05,1411.55,1417.2,48417567,27547900000,21.53,4.63,1.13,5.67E-16,-1,-1,-1.84E-16,1
18-09-2000,1416.05,1416.05,1352.1,1354.35,44613980,23700400000,20.58,4.42,1.18,-0.587785252,-0.809016994,-1,-1.84E-16,1
19-09-2000,1351.8,1361.7,1295.3,1317,61402728,27438900000,20.01,4.3,1.22,-0.743144825,-0.669130606,-1,-1.84E-16,1
20-09-2000,1317.8,1351.1,1311.1,1342.9,42014443,18577500000,20.4,4.38,1.2,-0.866025404,-0.5,-1,-1.84E-16,1
21-09-2000,1341.65,1347.4,1325.75,1329.85,37264457,16013300000,20.21,4.34,1.21,-0.951056516,-0.309016994,-1,-1.84E-16,1
22-09-2000,1329.1,1329.1,1261.2,1266.45,53881081,24650400000,19.24,4.13,1.27,-0.994521895,-0.104528463,-1,-1.84E-16,1
25-09-2000,1268.4,1305.1,1268.4,1292.55,42390608,19990400000,19.64,4.22,1.24,-0.866025404,0.5,-1,-1.84E-16,1
26-09-2000,1292.9,1298.25,1261,1267.9,46208596,19085000000,19.26,4.14,1.26,-0.743144825,0.669130606,-1,-1.84E-16,1
27-09-2000,1267.45,1299,1249.35,1292.55,49801255,21274700000,19.64,4.22,1.24,-0.587785252,0.809016994,-1,-1.84E-16,1
28-09-2000,1292.4,1302.75,1260.8,1266.4,60964211,25288700000,19.24,4.13,1.26,-0.406736643,0.913545458,-1,-1.84E-16,1
29-09-2000,1267.3,1284.15,1264.4,1271.65,49222289,20242900000,19.32,4.15,1.26,-0.207911691,0.978147601,-1,-1.84E-16,1
